sample_id,filename,channel,min,max,mean,original_length
ksas_m0_p13_d,0-13-d.csv,game_rot_vec_z,0.0,0.672,0.6528947368421052,38
ksas_m0_p13_d,0-13-d.csv,magn_field_x,-25.356,-21.629,-23.145710526315792,38
ksas_m0_p13_d,0-13-d.csv,magn_field_y,4.269,7.727,5.9653947368421045,38
ksas_m0_p13_d,0-13-d.csv,magn_field_z,-31.619,-27.412,-30.002657894736846,38
ksas_m0_p13_i,0-13-i.csv,accelerometer_x,0.299,1.673,0.7918000000000001,40
ksas_m0_p13_i,0-13-i.csv,accelerometer_y,-4.623,-3.519,-3.8861,40
ksas_m0_p13_i,0-13-i.csv,accelerometer_z,7.87,10.669,9.025149999999998,40
ksas_m0_p13_i,0-13-i.csv,gravity_x,0.631,0.829,0.7736750000000001,40
ksas_m0_p13_i,0-13-i.csv,gravity_y,-4.168,-3.779,-3.90685,40
ksas_m0_p13_i,0-13-i.csv,gravity_z,8.855,9.015,8.961100000000002,40
ksas_m0_p13_i,0-13-i.csv,gyros_x,-0.006,0.07,0.012475000000000003,40
ksas_m0_p13_i,0-13-i.csv,gyros_y,-0.083,0.11,-0.015350000000000008,40
ksas_m0_p13_i,0-13-i.csv,gyros_z,-0.049,0.054,0.008700000000000005,40
ksas_m0_p13_i,0-13-i.csv,lin_accel_x,-0.093,0.299,0.02677500000000001,40
ksas_m0_p13_i,0-13-i.csv,lin_accel_y,-0.315,0.258,-0.0010500000000000064,40
ksas_m0_p13_i,0-13-i.csv,lin_accel_z,-0.051,0.86,0.22082500000000005,40
ksas_m0_p13_i,0-13-i.csv,game_rot_vec_x,-0.127,0.0,-0.11292499999999997,40
ksas_m0_p13_i,0-13-i.csv,game_rot_vec_y,-0.176,0.0,-0.16757499999999995,40
ksas_m0_p13_i,0-13-i.csv,game_rot_vec_z,0.0,0.69,0.6716500000000004,40
ksas_m0_p13_i,0-13-i.csv,magn_field_x,-10.242,-6.781,-9.021325000000001,40
ksas_m0_p13_i,0-13-i.csv,magn_field_y,-11.101,-7.108,-9.089874999999997,40
ksas_m0_p13_i,0-13-i.csv,magn_field_z,-38.983,-36.026,-37.365750000000006,40
ksas_m0_p14_d,0-14-d.csv,accelerometer_x,-0.314,1.616,0.5983823529411766,34
ksas_m0_p14_d,0-14-d.csv,accelerometer_y,-3.929,-1.3,-2.7642941176470592,34
ksas_m0_p14_d,0-14-d.csv,accelerometer_z,7.911,10.461,9.385617647058822,34
ksas_m0_p14_d,0-14-d.csv,gravity_x,0.523,0.808,0.6317352941176471,34
ksas_m0_p14_d,0-14-d.csv,gravity_y,-3.363,-2.715,-2.8580294117647056,34
ksas_m0_p14_d,0-14-d.csv,gravity_z,9.176,9.407,9.357794117647057,34
ksas_m0_p14_d,0-14-d.csv,gyros_x,-0.169,0.056,0.019382352941176482,34
ksas_m0_p14_d,0-14-d.csv,gyros_y,-0.09,0.19,0.013294117647058828,34
ksas_m0_p14_d,0-14-d.csv,gyros_z,-0.086,0.193,0.042205882352941176,34
ksas_m0_p14_d,0-14-d.csv,lin_accel_x,-0.198,0.175,-0.018764705882352947,34
ksas_m0_p14_d,0-14-d.csv,lin_accel_y,-0.148,0.54,0.07347058823529412,34
ksas_m0_p14_d,0-14-d.csv,lin_accel_z,-0.438,0.935,0.17550000000000002,34
ksas_m0_p14_d,0-14-d.csv,game_rot_vec_x,-0.093,0.0,-0.0794117647058824,34
ksas_m0_p14_d,0-14-d.csv,game_rot_vec_y,-0.145,0.0,-0.12223529411764703,34
ksas_m0_p14_d,0-14-d.csv,game_rot_vec_z,0.0,0.705,0.6735294117647059,34
ksas_m0_p14_d,0-14-d.csv,magn_field_x,-10.994,-7.492,-9.170529411764704,34
ksas_m0_p14_d,0-14-d.csv,magn_field_y,26.947,31.47,28.83370588235295,34
ksas_m0_p14_d,0-14-d.csv,magn_field_z,-47.401,-43.362,-45.62811764705883,34
