method,fold,group_level,group_value,baseline_macro_f1,metric_macro_f1,macro_f1_drop,baseline_balanced_accuracy,metric_balanced_accuracy,balanced_accuracy_drop,repeat,positive_macro_f1_drop,normalized_positive_drop
permutation,1,sensor_family,gravity,0.8749183006535949,0.7894063180827886,0.08551198257080628,0.875,0.7916666666666666,0.08333333333333337,0,0.08551198257080628,0.11801722471596388
permutation,1,sensor_family,gravity,0.8749183006535949,0.8758986928104576,-0.0009803921568627416,0.875,0.875,0.0,1,0.0,0.0
permutation,1,sensor_family,gravity,0.8749183006535949,0.8488328664799254,0.026085434173669486,0.875,0.8541666666666666,0.02083333333333337,2,0.026085434173669486,0.03600115976890522
permutation,1,sensor_family,gravity,0.8749183006535949,0.8954248366013072,-0.020506535947712345,0.875,0.8958333333333334,-0.02083333333333337,3,0.0,0.0
permutation,1,sensor_family,gravity,0.8749183006535949,0.8581349206349206,0.0167833800186743,0.875,0.8541666666666666,0.02083333333333337,4,0.0167833800186743,0.023163162303215287
permutation,1,sensor_family,gyros,0.8749183006535949,0.8817460317460317,-0.0068277310924368395,0.875,0.875,0.0,0,0.0,0.0
permutation,1,sensor_family,gyros,0.8749183006535949,0.8148692810457517,0.060049019607843146,0.875,0.8125,0.0625,1,0.060049019607843146,0.08287515302506365
permutation,1,sensor_family,gyros,0.8749183006535949,0.8967320261437909,-0.021813725490196,0.875,0.8958333333333334,-0.02083333333333337,2,0.0,0.0
permutation,1,sensor_family,gyros,0.8749183006535949,0.8548669467787114,0.020051353874883437,0.875,0.8541666666666666,0.02083333333333337,3,0.020051353874883437,0.027673374712742546
permutation,1,sensor_family,gyros,0.8749183006535949,0.8967320261437909,-0.021813725490196,0.875,0.8958333333333334,-0.02083333333333337,4,0.0,0.0
permutation,1,sensor_family,lin_accel,0.8749183006535949,0.8357026143790849,0.03921568627451,0.875,0.8333333333333334,0.04166666666666663,0,0.03921568627451,0.05412254891432754
permutation,1,sensor_family,lin_accel,0.8749183006535949,0.831454248366013,0.04346405228758188,0.875,0.8333333333333334,0.04166666666666663,1,0.04346405228758188,0.05998582504671297
permutation,1,sensor_family,lin_accel,0.8749183006535949,0.8357026143790849,0.03921568627451,0.875,0.8333333333333334,0.04166666666666663,2,0.03921568627451,0.05412254891432754
permutation,1,sensor_family,lin_accel,0.8749183006535949,0.8758986928104576,-0.0009803921568627416,0.875,0.875,0.0,3,0.0,0.0
