fold,split,sample_index,sample_id,original_length,padding_fraction,dilation,effective_receptive_field_samples,receptive_field_exceeds_original_length,mean_absolute_feature_delta,max_absolute_feature_delta
3,train,7,ksas_m0_p12_i,18,0.6785714285714286,3,25,True,0.19093811511993408,0.6785714626312256
3,train,8,ksas_m0_p13_d,38,0.3214285714285714,3,25,False,0.09010932594537735,0.2875939607620239
3,train,9,ksas_m0_p13_i,40,0.2857142857142857,3,25,False,0.07778013497591019,0.22142857313156128
3,train,10,ksas_m0_p14_d,34,0.3928571428571429,3,25,False,0.10606049001216888,0.3581932783126831
3,train,11,ksas_m0_p14_i,31,0.4464285714285714,3,25,False,0.12590329349040985,0.36002305150032043
3,train,14,ksas_m0_p16_d,30,0.4642857142857143,3,25,False,0.1469545215368271,0.4642857313156128
3,train,15,ksas_m0_p16_i,28,0.5,3,25,False,0.1528722643852234,0.4821428656578064
3,train,16,ksas_m0_p17_d,34,0.3928571428571429,3,25,False,0.10050825774669647,0.3235294222831726
3,train,17,ksas_m0_p17_i,23,0.5892857142857143,3,25,True,0.1933152973651886,0.5892857313156128
3,train,22,ksas_m0_p02_d,32,0.4285714285714286,3,25,False,0.12781085073947906,0.4017857313156128
3,train,23,ksas_m0_p02_i,29,0.4821428571428571,3,25,False,0.12561047077178955,0.44889163970947266
3,train,24,ksas_m0_p20_d,36,0.3571428571428571,3,25,False,0.10168126225471497,0.2976190447807312
3,train,25,ksas_m0_p20_i,22,0.6071428571428572,3,25,True,0.20559442043304443,0.6071428656578064
3,train,26,ksas_m0_p03_d,31,0.4464285714285714,3,25,False,0.1329284906387329,0.4464285969734192
3,train,27,ksas_m0_p03_i,19,0.6607142857142857,3,25,True,0.2238694429397583,0.6607142686843872
3,train,28,ksas_m0_p04_d,49,0.125,3,25,False,0.04332179203629494,0.10969386994838715
3,train,29,ksas_m0_p04_i,44,0.2142857142857143,3,25,False,0.07286405563354492,0.2142857164144516
3,train,32,ksas_m0_p06_d,40,0.2857142857142857,3,25,False,0.08717875927686691,0.2571428418159485
3,train,33,ksas_m0_p06_i,38,0.3214285714285714,3,25,False,0.09164217114448547,0.30451130867004395
3,train,34,ksas_m0_p07_d,38,0.3214285714285714,3,25,False,0.09563218057155609,0.2875939607620239
3,train,35,ksas_m0_p07_i,35,0.375,3,25,False,0.09504913538694382,0.34285712242126465
3,train,36,ksas_m0_p08_d,44,0.2142857142857143,3,25,False,0.06332135200500488,0.19480520486831665
3,train,37,ksas_m0_p08_i,27,0.5178571428571428,3,25,False,0.17062179744243622,0.5178571343421936
3,train,38,ksas_m0_p09_d,23,0.5892857142857143,3,25,True,0.19980013370513916,0.5892857313156128
3,train,39,ksas_m0_p09_i,35,0.375,3,25,False,0.10275180637836456,0.3321428894996643
3,train,40,ksas_m1_p01_d,36,0.3571428571428571,3,25,False,0.10009999573230743,0.2976190447807312
3,train,41,ksas_m1_p01_i,41,0.2678571428571429,3,25,False,0.0771389901638031,0.2286585569381714
3,train,42,ksas_m1_p10_d,27,0.5178571428571428,3,25,False,0.15792444348335266,0.42195767164230347
